iter	Passed	Remaining
0	145	145083
1	146	73044
2	147	48941
3	147	36847
4	148	29622
5	149	24773
6	150	21321
7	151	18736
8	151	16722
9	152	15125
10	153	13843
11	155	12765
12	156	11850
13	157	11104
14	159	10489
15	161	9904
16	162	9383
17	163	8915
18	164	8500
19	165	8101
20	166	7778
21	168	7468
22	168	7177
23	169	6904
24	170	6653
25	171	6430
26	173	6240
27	174	6045
28	175	5862
29	176	5692
30	176	5532
31	178	5393
32	179	5248
33	180	5115
34	180	4986
35	181	4860
36	182	4743
37	183	4633
38	183	4530
39	184	4433
40	185	4340
41	186	4251
42	187	4166
43	188	4086
44	188	4010
45	190	3945
46	191	3878
47	192	3808
48	192	3742
49	193	3678
50	194	3617
51	195	3557
52	195	3502
53	196	3445
54	197	3392
55	198	3346
56	199	3302
57	200	3255
58	201	3208
59	202	3169
60	203	3133
61	204	3095
62	205	3055
63	206	3016
64	207	2978
65	207	2942
66	208	2905
67	209	2871
68	210	2836
69	211	2803
70	212	2775
71	213	2750
72	214	2720
73	215	2693
74	231	2860
75	233	2839
76	234	2808
77	234	2777
78	235	2747
79	236	2719
80	237	2690
81	237	2662
82	238	2632
83	239	2606
84	239	2580
85	240	2555
86	241	2533
87	242	2514
88	243	2492
89	245	2478
90	246	2460
91	247	2447
92	248	2427
93	249	2407
94	250	2387
95	251	2366
96	252	2346
97	252	2328
98	253	2309
99	254	2294
100	256	2279
101	257	2263
102	257	2246
103	258	2230
104	259	2215
105	261	2202
106	261	2186
107	262	2170
108	263	2153
109	264	2137
110	264	2122
111	265	2106
112	266	2090
113	267	2075
114	268	2062
115	269	2050
116	269	2036
117	270	2022
118	271	2009
119	272	1999
120	273	1989
121	274	1976
122	275	1963
123	276	1950
124	277	1939
125	277	1927
126	278	1913
127	279	1901
128	279	1889
129	280	1877
130	281	1865
131	282	1856
132	283	1847
133	284	1836
134	285	1827
135	286	1818
136	287	1812
137	288	1802
138	289	1791
139	289	1781
140	290	1771
141	291	1759
142	292	1750
143	292	1740
144	293	1730
145	294	1720
146	294	1711
147	295	1703
148	296	1695
149	297	1688
150	298	1679
151	299	1670
152	300	1663
153	301	1655
154	302	1647
155	303	1640
156	304	1632
157	304	1624
158	305	1615
159	306	1607
160	306	1598
161	307	1590
162	308	1583
163	309	1575
164	310	1571
165	311	1565
166	312	1559
167	313	1552
168	314	1544
169	314	1537
170	315	1530
171	316	1522
172	317	1515
173	317	1508
174	318	1501
175	319	1494
176	319	1487
177	320	1480
178	321	1474
179	322	1467
180	323	1465
181	325	1460
182	325	1454
183	326	1449
184	327	1442
185	328	1436
186	329	1430
187	329	1424
188	330	1418
189	331	1412
190	331	1406
191	332	1399
192	333	1394
193	334	1388
194	334	1382
195	335	1376
196	336	1372
197	338	1370
198	339	1365
199	340	1360
200	340	1355
201	341	1350
202	342	1346
