iter	Passed	Remaining
0	6	6524
1	7	3852
2	8	2830
3	9	2326
4	10	2180
5	11	1982
6	12	1800
7	13	1664
8	14	1565
9	14	1478
10	15	1403
11	16	1364
12	17	1325
13	18	1281
14	18	1244
15	19	1208
16	20	1174
17	20	1141
18	21	1118
19	22	1123
20	24	1120
21	24	1108
22	25	1102
23	26	1091
24	27	1078
25	28	1065
26	29	1052
27	29	1039
28	30	1026
29	31	1013
30	32	1000
31	32	989
32	33	979
33	34	969
34	34	960
35	35	950
36	36	959
37	38	971
38	39	967
39	40	962
40	40	955
41	41	948
42	42	940
43	42	932
44	43	926
45	44	919
46	45	913
47	45	905
48	46	899
49	47	893
50	47	889
51	48	883
52	49	880
53	50	877
54	51	883
55	52	888
56	53	884
57	54	880
58	54	875
59	55	872
60	56	868
61	57	863
62	57	859
63	58	855
64	59	851
65	59	848
66	60	844
67	61	841
68	62	837
69	62	833
70	63	830
71	64	829
72	65	829
73	67	838
74	68	839
75	68	836
76	69	833
77	70	829
78	70	825
79	71	821
80	72	818
81	72	815
82	73	808
83	73	805
84	74	802
85	75	800
86	75	797
87	76	794
88	77	792
89	78	789
90	78	787
91	80	793
92	81	794
93	82	794
94	83	793
95	83	790
96	84	788
97	85	785
98	86	782
99	86	780
100	87	777
101	88	774
102	88	772
103	89	769
104	89	766
105	90	764
106	91	763
107	92	761
108	92	759
109	93	758
110	94	758
111	95	757
112	96	755
113	96	753
114	97	751
115	98	750
116	99	748
117	99	746
118	100	745
119	101	743
120	102	741
121	102	738
122	103	737
123	104	735
124	104	733
125	105	731
126	105	728
127	106	726
128	107	725
129	108	723
130	108	722
131	110	724
132	111	724
133	111	723
134	112	722
135	113	720
136	114	718
137	114	716
138	115	715
139	116	713
140	116	711
141	117	708
142	118	708
143	118	707
144	119	706
145	120	704
146	121	703
147	121	701
148	122	700
149	123	699
150	124	702
151	125	700
152	126	701
153	127	699
154	128	698
155	128	696
156	129	695
157	130	693
158	130	691
159	131	689
160	131	686
161	132	686
162	133	684
163	134	683
164	134	682
165	135	680
166	136	679
167	136	677
168	137	676
169	139	680
170	140	680
171	141	679
172	142	679
173	142	678
174	143	676
175	144	675
176	144	673
177	146	674
178	147	674
179	147	673
180	148	672
181	149	672
182	150	672
183	151	671
184	152	672
185	154	674
186	155	674
187	156	674
188	156	673
189	157	672
190	159	673
191	159	673
192	161	673
193	161	672
194	162	671
195	163	670
196	164	669
197	164	668
198	165	667
199	167	668
200	168	668
201	169	669
202	170	668
203	171	667
204	171	666
205	172	665
206	173	664
207	174	664
208	175	663
209	176	662
210	177	663
211	178	664
212	179	664
213	180	664
214	182	665
215	183	667
216	184	667
217	185	666
218	186	665
219	187	665
220	188	664
221	189	662
222	189	661
223	190	661
224	193	665
225	194	665
226	195	665
227	197	668
228	199	670
229	199	668
230	200	668
231	201	667
232	202	667
233	203	666
234	205	668
235	206	667
236	207	668
237	208	667
238	209	667
239	211	671
240	213	672
241	214	672
242	215	672
243	216	672
244	218	671
245	219	671
246	219	670
247	220	669
248	221	668
249	233	699
250	234	699
251	235	699
252	236	698
253	237	698
254	240	703
255	244	709
256	245	710
257	248	714
